2021-01-16 11:20:17.853 [main] WARN  o.s.b.s.r.RedisStarterDeprecationWarningAutoConfiguration - spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
2021-01-16 17:14:47.162 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-94] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:14:56.369 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-95] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:15:05.537 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-96] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:15:14.724 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-97] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:15:23.891 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-98] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:15:33.051 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-99] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:15:42.223 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-100] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:15:51.383 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-101] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:16:00.587 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-102] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:16:09.839 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-103] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:16:19.102 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-104] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:16:28.345 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-105] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:16:37.559 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-106] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:16:46.768 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-107] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:16:55.968 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-108] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:17:05.164 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-109] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:17:14.391 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-110] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:17:23.592 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-111] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:17:32.760 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-112] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:17:41.977 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-113] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:17:51.155 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-114] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:18:00.347 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-115] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:18:09.518 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-116] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:18:18.685 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-117] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:18:27.883 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-118] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:18:37.073 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-119] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:18:46.259 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-120] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:18:55.477 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-121] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:19:04.645 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-122] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:19:13.786 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-123] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:19:22.987 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-124] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:19:32.135 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-125] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:19:41.332 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-126] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:19:50.545 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-127] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:19:59.756 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-128] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:20:08.932 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-129] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:20:18.119 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-130] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:20:27.308 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-131] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:20:36.506 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-132] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:20:45.688 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-133] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:20:54.903 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-134] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:21:04.079 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-135] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:21:13.277 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-136] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:21:22.494 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-137] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:21:31.682 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-138] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:21:40.948 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-139] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:21:50.192 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-140] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:21:59.451 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-141] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:22:08.656 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-142] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:22:17.878 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-143] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:22:27.094 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-144] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:22:36.277 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-145] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:22:45.490 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-146] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:22:54.684 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-147] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:23:03.876 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-148] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:23:13.064 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-149] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:23:22.266 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-150] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:23:31.455 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-151] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:23:40.631 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-152] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:23:49.800 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-153] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:23:58.988 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-154] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:24:08.170 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-155] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:24:17.339 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-156] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:24:26.556 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-157] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:24:35.740 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-158] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:24:44.949 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-159] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:24:54.117 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-160] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:25:03.332 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-161] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:25:12.552 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-162] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:25:21.725 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-163] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:25:30.907 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-164] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:25:40.094 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-165] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:25:49.302 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-166] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:25:58.483 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-167] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:26:07.723 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-168] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:26:16.912 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-169] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:26:26.060 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-170] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:26:35.236 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-171] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:26:44.454 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-172] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:26:53.623 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-173] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:27:02.816 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-174] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:27:11.922 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-175] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:27:21.152 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-176] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:27:30.569 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-177] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:27:39.738 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-178] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:27:49.405 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-179] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:27:58.725 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-180] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:28:07.921 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-181] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:28:18.012 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-182] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:28:27.283 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-183] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:28:36.477 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-184] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:28:45.674 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-185] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:28:54.784 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-186] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
2021-01-16 17:29:04.039 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-187] WARN  o.s.a.r.listener.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
